Date,FTSEMIB
2015-01-02,19130.0
2015-01-05,18188.0
2015-01-06,18143.0
2015-01-07,18123.0
2015-01-08,18792.0
2015-01-09,18177.0
2015-01-12,18349.0
2015-01-13,18709.0
2015-01-14,18410.0
2015-01-15,18845.0
2015-01-16,19255.0
2015-01-19,19481.0
2015-01-20,19659.0
2015-01-21,19981.0
2015-01-22,20470.0
2015-01-23,20520.0
2015-01-26,20757.0
2015-01-27,20646.0
2015-01-28,20478.0
2015-01-29,20594.0
2015-01-30,20503.0
2015-02-02,20486.0
2015-02-03,21012.0
2015-02-04,20942.0
2015-02-05,20819.0
2015-02-06,20761.0
2015-02-09,20367.0
2015-02-10,20726.0
2015-02-11,20566.0
2015-02-12,21003.0
2015-02-13,21204.0
2015-02-16,21166.0
2015-02-17,21266.0
2015-02-18,21659.0
2015-02-19,21790.0
2015-02-20,21843.0
2015-02-23,21964.0
2015-02-24,22150.0
2015-02-25,21937.0
2015-02-26,22165.0
2015-02-27,22338.0
2015-03-02,22298.0
2015-03-03,21987.0
2015-03-04,22131.0
2015-03-05,22400.0
2015-03-06,22436.0
2015-03-09,22564.0
2015-03-10,22346.0
2015-03-11,22833.0
2015-03-12,22809.0
2015-03-13,22714.0
2015-03-16,22931.0
2015-03-17,22723.0
2015-03-18,22565.0
2015-03-19,22805.0
2015-03-20,23177.0
2015-03-23,23057.0
2015-03-24,23333.0
2015-03-25,23145.0
2015-03-26,22900.0
2015-03-27,22984.0
2015-03-30,23261.0
2015-03-31,23157.0
2015-04-01,23359.0
2015-04-02,23309.0
2015-04-07,23706.0
2015-04-08,23579.0
2015-04-09,23804.0
2015-04-10,23877.0
2015-04-13,24009.0
2015-04-14,23753.0
2015-04-15,24031.0
2015-04-16,23611.0
2015-04-17,23044.0
2015-04-20,23333.0
2015-04-21,23240.0
2015-04-22,23315.0
2015-04-23,23199.0
2015-04-24,23427.0
2015-04-27,23806.0
2015-04-28,23532.0
2015-04-29,22996.0
2015-04-30,23046.0
2015-05-04,23217.0
2015-05-05,22576.0
2015-05-06,22660.0
2015-05-07,22842.0
2015-05-08,23312.0
2015-05-11,23322.0
2015-05-12,23105.0
2015-05-13,23211.0
2015-05-14,23549.0
2015-05-15,23473.0
2015-05-18,23198.0
2015-05-19,23713.0
2015-05-20,23773.0
2015-05-21,23740.0
2015-05-22,23782.0
2015-05-25,23285.0
2015-05-26,23327.0
2015-05-27,23861.0
2015-05-28,23744.0
2015-05-29,23496.0
2015-06-01,23436.0
2015-06-02,23576.0
2015-06-03,23609.0
2015-06-04,23337.0
2015-06-05,22847.0
2015-06-08,22642.0
2015-06-09,22527.0
2015-06-10,23091.0
2015-06-11,23172.0
2015-06-12,22878.0
2015-06-15,22328.0
2015-06-16,22383.0
2015-06-17,22225.0
2015-06-18,22460.0
2015-06-19,22699.0
2015-06-22,23486.0
2015-06-23,23567.0
2015-06-24,23443.0
2015-06-25,23643.0
2015-06-26,23800.0
2015-06-29,22570.0
2015-06-30,22461.0
2015-07-01,22944.0
2015-07-02,22617.0
2015-07-03,22508.0
2015-07-06,21601.0
2015-07-07,20958.0
2015-07-08,21512.0
2015-07-09,22269.0
2015-07-10,22937.0
2015-07-13,23167.0
2015-07-14,23098.0
2015-07-15,23393.0
2015-07-16,23783.0
2015-07-17,23765.0
2015-07-20,24031.0
2015-07-21,23713.0
2015-07-22,23681.0
2015-07-23,23633.0
2015-07-24,23508.0
2015-07-27,22809.0
2015-07-28,23328.0
2015-07-29,23249.0
2015-07-30,23396.0
2015-07-31,23538.0
2015-08-03,23714.0
2015-08-04,23473.0
2015-08-05,23912.0
2015-08-06,23811.0
2015-08-07,23705.0
2015-08-10,23966.0
2015-08-11,23698.0
2015-08-12,22998.0
2015-08-13,23356.0
2015-08-14,23249.0
2015-08-17,23408.0
2015-08-18,23390.0
2015-08-19,22975.0
2015-08-20,22379.0
2015-08-21,21746.0
2015-08-24,20450.0
2015-08-25,21650.0
2015-08-26,21474.0
2015-08-27,22201.0
2015-08-28,21994.0
2015-08-31,21942.0
2015-09-01,21451.0
2015-09-02,21612.0
2015-09-03,22177.0
2015-09-04,21473.0
2015-09-07,21622.0
2015-09-08,21941.0
2015-09-09,22127.0
2015-09-10,21901.0
2015-09-11,21763.0
2015-09-14,21554.0
2015-09-15,21904.0
2015-09-16,22059.0
2015-09-17,22100.0
2015-09-18,21515.0
2015-09-21,21755.0
2015-09-22,21032.0
2015-09-23,21069.0
2015-09-24,20582.0
2015-09-25,21339.0
2015-09-28,20759.0
2015-09-29,20727.0
2015-09-30,21295.0
2015-10-01,21143.0
2015-10-02,21395.0
2015-10-05,21980.0
2015-10-06,22183.0
2015-10-07,22007.0
2015-10-08,22157.0
2015-10-09,22258.0
2015-10-12,22091.0
2015-10-13,22048.0
2015-10-14,21838.0
2015-10-15,22218.0
2015-10-16,22338.0
2015-10-19,22420.0
2015-10-20,22270.0
2015-10-21,22173.0
2015-10-22,22617.0
2015-10-23,22737.0
2015-10-26,22630.0
2015-10-27,22370.0
2015-10-28,22686.0
2015-10-29,22443.0
2015-10-30,22443.0
2015-11-02,22482.0
2015-11-03,22459.0
2015-11-04,22313.0
2015-11-05,22224.0
2015-11-06,22530.0
2015-11-09,22107.0
2015-11-10,22444.0
2015-11-11,22385.0
2015-11-12,21859.0
2015-11-13,21843.0
2015-11-16,21811.0
2015-11-17,22309.0
2015-11-18,22092.0
2015-11-19,22192.0
2015-11-20,22140.0
2015-11-23,22295.0
2015-11-24,21948.0
2015-11-25,22359.0
2015-11-26,22592.0
2015-11-27,22575.0
2015-11-30,22718.0
2015-12-01,22581.0
2015-12-02,22552.0
2015-12-03,21996.0
2015-12-04,22021.0
2015-12-07,22037.0
2015-12-08,21538.0
2015-12-09,21501.0
2015-12-10,21410.0
2015-12-11,21015.0
2015-12-14,20507.0
2015-12-15,21273.0
2015-12-16,21210.0
2015-12-17,21523.0
2015-12-18,21242.0
2015-12-21,21099.0
2015-12-22,21060.0
2015-12-23,21456.0
2015-12-28,21369.0
2015-12-29,21661.0
2015-12-30,21418.0
2016-01-04,20734.0
2016-01-05,20983.0
2016-01-06,20422.0
2016-01-07,20189.0
2016-01-08,19869.0
2016-01-11,19756.0
2016-01-12,19970.0
2016-01-13,20140.0
2016-01-14,19803.0
2016-01-15,19196.0
2016-01-18,18687.0
2016-01-19,18881.0
2016-01-20,17968.0
2016-01-21,18723.0
2016-01-22,19028.0
